Engineering Strain (unitless),Engineering Stress (Pa)
0.000179,11897.435897435898
0.00024,49743.58974358974
0.0003,94358.97435897436
0.00035999999999999997,145128.20512820513
0.000417,206666.6666666667
0.000473,274358.9743589744
0.000535,358974.358974359
0.000596,443589.7435897436
0.0006519999999999999,525641.0256410256
0.000707,605128.2051282051
0.0007620000000000001,684615.3846153846
0.0008179999999999999,761538.4615384615
0.000877,833333.3333333334
0.000936,910256.4102564103
0.000995,984615.3846153846
0.00106,1046153.8461538461
0.0011200000000000001,1110256.4102564103
0.0011799999999999998,1182051.282051282
0.00124,1256410.2564102565
0.0012900000000000001,1310256.4102564103
0.00134,1366666.6666666665
0.0014099999999999998,1441025.6410256412
0.00147,1510256.4102564103
0.0015,1551282.0512820513
0.00158,1633333.3333333335
0.00164,1710256.4102564103
0.00167,1743589.7435897435
0.0017499999999999998,1825641.0256410257
0.00181,1894871.794871795
0.00188,1974358.9743589745
0.00191,2017948.717948718
0.00196,2056410.2564102565
0.00203,2125641.025641026
0.0021,2207692.3076923075
0.00215,2264102.564102564
0.0022,2323076.923076923
0.00227,2400000.0
0.00234,2482051.282051282
0.0023899999999999998,2543589.7435897435
0.00243,2589743.58974359
0.0025,2666666.6666666665
0.00256,2743589.7435897435
0.0026,2769230.7692307695
0.00265,2846153.846153846
0.00271,2897435.8974358975
0.0027700000000000003,2948717.948717949
0.0028299999999999996,3025641.0256410255
0.0028899999999999998,3076923.076923077
0.00295,3153846.153846154
0.00301,3205128.205128205
0.00307,3282051.282051282
0.00311,3333333.3333333335
0.00317,3384615.3846153845
0.0032300000000000002,3461538.4615384615
0.00329,3512820.512820513
0.00334,3564102.564102564
0.0034000000000000002,3641025.641025641
0.0034599999999999995,3692307.6923076925
0.0035099999999999997,3743589.7435897435
0.00357,3820512.8205128205
0.00363,3871794.871794872
0.00369,3923076.923076923
0.00375,4000000.0
0.0038,4051282.0512820515
0.00386,4102564.1025641025
0.00392,4153846.153846154
0.00398,4230769.230769231
0.004030000000000001,4282051.282051282
0.00409,4333333.333333333
0.00415,4410256.41025641
0.0042,4461538.461538462
0.00426,4512820.512820513
0.00432,4564102.564102564
0.00437,4641025.641025641
0.00443,4692307.692307692
0.00449,4743589.743589744
0.00455,4820512.820512821
0.00461,4871794.871794872
0.00466,4923076.923076923
0.004719999999999999,5000000.0
0.00479,5051282.051282051
0.00485,5128205.128205128
0.00489,5153846.153846154
0.0049499999999999995,5230769.230769231
0.005,5282051.282051282
0.00507,5358974.358974359
0.00513,5410256.41025641
0.005180000000000001,5461538.461538462
0.00523,5512820.512820513
0.00529,5589743.58974359
0.005350000000000001,5641025.641025641
0.005410000000000001,5692307.692307692
0.0054600000000000004,5769230.769230769
0.00551,5820512.820512821
0.00557,5871794.871794872
0.00563,5923076.923076923
0.00569,6000000.0
0.00575,6051282.051282051
0.005809999999999999,6128205.128205128
0.00586,6179487.17948718
0.00592,6230769.230769231
0.00597,6282051.282051282
0.00603,6358974.358974359
0.00609,6410256.41025641
0.00615,6487179.487179487
0.0062,6538461.538461539
0.00625,6589743.58974359
0.00631,6641025.641025641
0.00637,6717948.717948718
0.00642,6769230.769230769
0.0064800000000000005,6846153.846153846
0.00655,6897435.897435898
0.00661,6974358.974358974
0.0066500000000000005,7025641.025641026
0.006710000000000001,7076923.076923077
0.006770000000000001,7128205.128205128
0.00683,7205128.205128205
0.006889999999999999,7256410.256410257
0.00695,7333333.333333333
0.00701,7384615.384615385
0.0070599999999999994,7435897.435897436
0.00712,7512820.512820513
0.00718,7564102.564102564
0.0072299999999999994,7641025.641025641
0.00729,7692307.692307692
0.00734,7743589.743589744
0.0074,7820512.820512821
0.00746,7871794.871794872
0.00752,7948717.948717949
0.00758,8000000.0
0.0076300000000000005,8076923.076923077
0.00768,8102564.102564103
0.00774,8153846.153846154
0.0078000000000000005,8230769.230769231
0.00786,8282051.282051282
0.00792,8358974.358974359
0.00797,8435897.435897436
0.00803,8487179.487179488
0.00809,8564102.564102564
0.00814,8615384.615384616
0.00819,8692307.692307692
0.00825,8743589.743589744
0.00831,8820512.82051282
0.008369999999999999,8897435.897435898
0.00843,8948717.948717948
0.00848,9000000.0
0.008539999999999999,9076923.076923078
0.0086,9128205.128205128
0.00865,9179487.17948718
0.00871,9256410.256410256
0.00876,9307692.307692308
0.00882,9384615.384615384
0.00888,9435897.435897436
0.00894,9512820.512820514
0.00899,9564102.564102564
0.00905,9615384.615384616
0.0091,9692307.692307692
0.00916,9743589.743589744
0.00922,9820512.82051282
0.00928,9871794.871794872
0.009340000000000001,9948717.948717948
0.009399999999999999,10000000.0
0.00945,10076923.076923078
0.00951,10128205.128205128
0.009559999999999999,10205128.205128206
0.00962,10256410.256410256
0.00968,10333333.333333334
0.00974,10410256.41025641
0.00979,10461538.461538462
0.00985,10538461.538461538
0.00991,10589743.58974359
0.00996,10641025.641025642
0.01,10717948.717948718
0.0101,10769230.76923077
0.0101,10846153.846153846
0.0102,10923076.923076924
0.0102,10974358.974358974
0.0103,11025641.025641026
0.0104,11102564.102564102
0.0104,11179487.17948718
0.0105,11230769.23076923
0.0105,11307692.307692308
0.0106,11358974.35897436
0.0106,11435897.435897436
0.010700000000000001,11487179.487179488
0.0108,11564102.564102564
0.0108,11615384.615384616
0.0109,11692307.692307692
0.0109,11743589.743589744
0.011000000000000001,11820512.82051282
0.0111,11871794.871794872
0.0111,11948717.948717948
0.011200000000000002,12000000.0
0.011200000000000002,12076923.076923078
0.0113,12128205.128205128
0.0113,12205128.205128206
0.011399999999999999,12256410.256410256
0.011399999999999999,12333333.333333334
0.0115,12384615.384615384
0.0116,12461538.461538462
0.0116,12512820.512820514
0.011699999999999999,12589743.58974359
0.011699999999999999,12641025.641025642
0.0118,12717948.717948718
0.011899999999999999,12794871.794871796
0.011899999999999999,12871794.871794872
0.012,12923076.923076924
0.012,12974358.974358974
0.0121,13051282.051282052
0.0121,13102564.102564102
0.012199999999999999,13179487.17948718
0.012199999999999999,13256410.256410256
0.0123,13307692.307692308
0.0124,13384615.384615384
0.0124,13435897.435897436
0.0125,13512820.512820514
0.0125,13564102.564102564
0.0126,13641025.641025642
