Engineering Strain (unitless),Engineering Stress (Pa)
0.0,8538.461538461539
2.28e-05,3897.4358974358975
8.580000000000001e-05,16897.4358974359
0.00017999999999999998,39230.769230769234
0.00026700000000000004,62564.10256410256
0.000361,98974.35897435897
0.000448,136153.84615384616
0.000541,178461.53846153847
0.0006410000000000001,222564.10256410256
0.000738,264102.5641025641
0.0008179999999999999,300000.0
0.000911,328205.12820512825
0.000995,366666.6666666667
0.00109,394871.7948717949
0.0011799999999999998,423076.92307692306
0.00127,453846.1538461538
0.00136,479487.1794871795
0.00145,502564.1025641026
0.00154,523076.92307692306
0.0016200000000000001,530769.2307692308
0.00172,535897.4358974359
0.00181,543589.7435897436
0.00189,551282.0512820513
0.00198,556410.2564102564
0.00209,564102.5641025641
0.00217,564102.5641025641
0.00227,564102.5641025641
0.0023499999999999997,564102.5641025641
0.00245,564102.5641025641
0.00254,564102.5641025641
0.00261,564102.5641025641
0.0027,564102.5641025641
0.0028000000000000004,564102.5641025641
0.0028799999999999997,564102.5641025641
0.00298,564102.5641025641
0.00307,564102.5641025641
0.00315,564102.5641025641
0.0032400000000000003,564102.5641025641
0.00332,571794.8717948719
0.0034200000000000003,571794.8717948719
0.0035099999999999997,571794.8717948719
0.00359,571794.8717948719
0.00368,574358.9743589744
0.00377,582051.282051282
0.00386,582051.282051282
0.00394,582051.282051282
0.00404,582051.282051282
0.00413,582051.282051282
0.00423,582051.282051282
0.00431,579487.1794871795
0.0044,574358.9743589744
0.00449,582051.282051282
0.00459,582051.282051282
0.0046700000000000005,582051.282051282
0.0047599999999999995,587179.4871794871
0.00485,594871.7948717949
0.00494,602564.1025641026
0.00503,617948.717948718
0.00512,633333.3333333334
0.00521,648717.9487179487
0.00529,669230.7692307692
0.00538,689743.5897435897
0.00547,715384.6153846154
0.005560000000000001,743589.7435897436
0.00565,766666.6666666666
0.0057399999999999994,794871.7948717949
0.005829999999999999,823076.9230769231
0.0059299999999999995,858974.358974359
0.00602,889743.5897435899
0.0060999999999999995,917948.7179487179
0.00619,951282.0512820514
0.00628,982051.282051282
0.00637,1010256.4102564103
0.0064600000000000005,1041025.6410256411
0.00655,1076923.076923077
0.00664,1112820.5128205128
0.006730000000000001,1146153.8461538462
0.0068200000000000005,1179487.1794871795
0.0069099999999999995,1215384.6153846153
0.006999999999999999,1251282.0512820513
0.0070799999999999995,1287179.4871794872
0.00718,1323076.9230769232
0.0072699999999999996,1361538.4615384615
0.00736,1397435.8974358975
0.00745,1435897.435897436
0.00753,1474358.9743589745
0.00762,1517948.717948718
0.00772,1561538.4615384615
0.0078000000000000005,1600000.0
0.007890000000000001,1641025.641025641
0.007980000000000001,1684615.3846153847
0.00807,1730769.2307692308
0.008159999999999999,1774358.9743589745
0.00825,1817948.7179487182
0.00834,1864102.5641025642
0.00843,1907692.307692308
0.00852,1951282.0512820513
0.00861,1994871.7948717948
0.00869,2041025.641025641
0.00878,2089743.5897435897
0.00887,2135897.435897436
0.008960000000000001,2187179.487179487
0.00905,2235897.435897436
0.00914,2282051.282051282
0.00923,2330769.230769231
0.00932,2382051.2820512825
0.00941,2435897.435897436
0.00951,2492307.6923076925
0.00958,2535897.435897436
0.00967,2589743.58974359
0.00976,2641025.641025641
0.00985,2692307.6923076925
0.00994,2743589.7435897435
0.01,2769230.7692307695
0.0101,2846153.846153846
0.0102,2897435.8974358975
0.0103,2948717.948717949
0.0104,3025641.0256410255
0.0105,3076923.076923077
0.0106,3128205.1282051285
0.010700000000000001,3205128.205128205
0.010700000000000001,3256410.2564102565
0.0108,3307692.307692308
0.0109,3384615.3846153845
0.011000000000000001,3435897.435897436
0.0111,3512820.512820513
0.011200000000000002,3564102.564102564
0.0113,3641025.641025641
0.011399999999999999,3692307.6923076925
0.0115,3769230.7692307695
0.0115,3820512.8205128205
0.0116,3897435.8974358975
0.011699999999999999,3948717.948717949
0.0118,4025641.0256410255
0.011899999999999999,4076923.076923077
0.012,4153846.153846154
0.0121,4205128.205128205
0.012199999999999999,4282051.282051282
0.0123,4358974.358974359
0.0123,4435897.435897436
0.0124,4512820.512820513
0.0125,4564102.564102564
0.0126,4641025.641025641
0.0127,4717948.717948718
0.0128,4794871.794871795
0.0129,4871794.871794872
0.013000000000000001,4948717.948717949
0.0131,5025641.025641026
0.0132,5102564.102564103
0.0132,5179487.17948718
0.013300000000000001,5256410.256410257
0.0134,5307692.307692308
0.013500000000000002,5410256.41025641
0.013600000000000001,5487179.487179487
0.0137,5538461.538461539
0.0138,5615384.615384615
0.0139,5692307.692307692
0.013999999999999999,5769230.769230769
0.013999999999999999,5846153.846153846
0.0141,5923076.923076923
0.014199999999999999,6000000.0
0.0143,6102564.102564103
0.0144,6179487.17948718
0.014499999999999999,6256410.256410257
0.0146,6333333.333333333
0.0147,6410256.41025641
0.0148,6512820.512820513
0.0149,6589743.58974359
0.0149,6666666.666666667
0.015,6743589.743589744
0.0151,6846153.846153846
0.0152,6923076.923076923
0.015300000000000001,7000000.0
0.0154,7102564.102564103
0.0155,7179487.17948718
0.015600000000000001,7256410.256410257
0.015700000000000002,7358974.358974359
0.015700000000000002,7435897.435897436
0.0158,7538461.538461539
0.0159,7615384.615384616
0.016,7692307.692307692
0.0161,7769230.769230769
0.016200000000000003,7871794.871794872
0.0163,7948717.948717949
0.016399999999999998,8051282.051282051
0.016399999999999998,8128205.128205128
0.0166,8230769.230769231
0.0166,8307692.307692308
0.0167,8410256.41025641
0.0168,8487179.487179488
0.0169,8589743.58974359
0.017,8666666.666666666
0.0171,8769230.76923077
0.0172,8846153.846153846
0.0173,8923076.923076924
0.0173,9025641.025641026
0.0174,9128205.128205128
0.0175,9205128.205128206
0.0176,9307692.307692308
0.0177,9410256.41025641
0.0178,9512820.512820514
0.0179,9589743.58974359
0.018000000000000002,9692307.692307692
0.0181,9794871.794871796
0.0182,9871794.871794872
0.0182,9974358.974358974
0.0183,10076923.076923078
0.0184,10179487.17948718
0.018500000000000003,10256410.256410256
0.018600000000000002,10358974.35897436
0.0187,10461538.461538462
0.018799999999999997,10564102.564102564
0.0189,10641025.641025642
0.019,10743589.743589744
0.019,10846153.846153846
0.0191,10923076.923076924
0.0192,11025641.025641026
0.019299999999999998,11128205.128205128
0.0194,11230769.23076923
0.0195,11333333.333333334
0.0196,11435897.435897436
0.0197,11512820.512820514
0.019799999999999998,11615384.615384616
0.019799999999999998,11717948.717948718
0.0199,11820512.82051282
0.02,11923076.923076924
0.020099999999999996,12025641.025641026
0.0202,12102564.102564102
0.0203,12205128.205128206
0.0204,12307692.307692308
0.020499999999999997,12384615.384615384
0.0206,12487179.487179488
0.0207,12589743.58974359
0.0207,12692307.692307692
0.0208,12794871.794871796
0.0209,12897435.897435898
0.021,13000000.0
0.021099999999999997,13102564.102564102
0.0212,13205128.205128206
0.0213,13307692.307692308
0.021400000000000002,13410256.41025641
0.0215,13512820.512820514
0.0215,13615384.615384616
0.0216,13717948.717948718
0.0217,13794871.794871796
0.0218,13923076.923076924
0.0219,14025641.025641026
0.022000000000000002,14102564.102564102
0.022099999999999998,14205128.205128206
0.0222,14307692.307692308
0.0223,14410256.41025641
0.0223,14512820.512820514
0.022400000000000003,14615384.615384616
0.0225,14717948.717948718
0.0226,14820512.82051282
0.0227,14923076.923076924
0.022799999999999997,15025641.025641026
0.0229,15153846.153846154
0.023,15256410.256410256
0.0231,15358974.35897436
0.0232,15461538.461538462
0.0232,15564102.564102564
0.0233,15666666.666666666
0.023399999999999997,15769230.76923077
0.0235,15871794.871794872
0.0236,15974358.974358974
0.023700000000000002,16102564.102564102
0.023799999999999998,16205128.205128206
0.0239,16307692.307692308
0.024,16410256.41025641
0.024,16512820.512820514
0.0241,16589743.58974359
0.0242,16692307.692307692
0.024300000000000002,16794871.794871796
0.024399999999999998,16897435.897435896
0.0245,17000000.0
0.0246,17102564.102564104
0.024700000000000003,17205128.205128204
0.0248,17307692.307692308
0.0248,17410256.410256412
0.024900000000000002,17538461.53846154
0.025,17641025.64102564
0.025099999999999997,17743589.743589744
0.0252,17846153.846153848
0.0253,17948717.948717948
0.0254,18051282.051282052
0.0255,18179487.17948718
0.0256,18256410.256410256
0.025699999999999997,18358974.35897436
0.025699999999999997,18461538.46153846
0.0258,18564102.564102564
0.0259,18666666.666666668
0.026000000000000002,18794871.794871796
0.026099999999999998,18897435.897435896
0.0262,19000000.0
0.0263,19102564.102564104
0.0264,19205128.205128204
0.0265,19307692.307692308
0.0265,19410256.410256412
0.026600000000000002,19512820.512820512
0.026699999999999998,19615384.615384616
0.0268,19743589.743589744
0.0269,19846153.846153848
0.027000000000000003,19948717.948717948
0.0271,20051282.051282052
0.027200000000000002,20153846.153846156
0.0273,20256410.256410256
0.0273,20358974.35897436
0.0274,20461538.46153846
0.0275,20589743.58974359
0.0276,20692307.692307692
0.0277,20794871.794871796
0.0278,20897435.897435896
0.0279,21000000.0
0.027999999999999997,21102564.102564104
0.027999999999999997,21179487.17948718
0.0282,21333333.333333332
0.0282,21410256.410256412
0.028300000000000002,21512820.512820512
0.028399999999999998,21641025.64102564
0.0285,21743589.743589744
0.0286,21846153.846153848
0.0287,21948717.948717948
0.0288,22051282.051282052
0.028900000000000002,22153846.153846156
0.028999999999999998,22256410.256410256
0.0291,22358974.35897436
0.0291,22461538.46153846
0.0292,22564102.564102564
0.029300000000000003,22692307.692307692
0.0294,22794871.794871796
0.029500000000000002,22897435.897435896
0.0296,23000000.0
0.0297,23102564.102564104
0.0298,23205128.205128204
0.029900000000000003,23307692.307692308
0.029900000000000003,23410256.410256412
0.03,23512820.512820512
0.0301,23615384.615384616
0.0302,23717948.71794872
0.030299999999999997,23820512.82051282
0.0304,23923076.923076924
0.0305,24025641.025641028
0.030600000000000002,24128205.128205128
0.030699999999999998,24230769.230769232
0.0308,24333333.333333332
0.0308,24410256.410256412
0.030899999999999997,24487179.487179488
0.031,24615384.615384616
0.0311,24717948.71794872
0.031200000000000002,24846153.846153848
0.0313,24948717.948717948
0.031400000000000004,25051282.051282052
0.0315,25153846.153846156
0.0315,25256410.256410256
0.0316,25358974.35897436
0.0317,25461538.461538464
0.0318,25564102.564102564
0.0319,25641025.64102564
0.032,25897435.897435896
0.0321,25897435.897435896
0.0322,25897435.897435896
0.0323,26153846.153846156
0.032400000000000005,26153846.153846156
0.032400000000000005,26153846.153846156
0.0325,26410256.410256412
0.0326,26410256.410256412
0.0327,26666666.666666668
0.032799999999999996,26666666.666666668
0.0329,26666666.666666668
0.033,26923076.923076924
0.0331,26923076.923076924
0.0332,27179487.17948718
0.0332,27179487.17948718
0.0333,27179487.17948718
0.0334,27435897.435897436
0.0335,27435897.435897436
0.0336,27692307.692307692
0.0337,27692307.692307692
0.0338,27692307.692307692
0.0339,27948717.948717948
0.034,27948717.948717948
0.0341,28205128.205128204
0.0341,28205128.205128204
0.0342,28205128.205128204
0.034300000000000004,28461538.461538464
0.0344,28461538.461538464
0.0345,28461538.461538464
0.0346,28717948.71794872
0.0347,28717948.71794872
0.0348,28974358.974358976
0.0349,28974358.974358976
0.0349,28974358.974358976
0.035,29230769.230769232
0.0351,29230769.230769232
0.0352,29487179.487179488
0.0353,29487179.487179488
0.0354,29487179.487179488
0.0355,29743589.743589744
0.0356,29743589.743589744
0.035699999999999996,29743589.743589744
0.035699999999999996,30000000.0
0.0358,30000000.0
0.0359,30000000.0
0.036000000000000004,30256410.256410256
0.0361,30256410.256410256
0.0362,30256410.256410256
0.0363,30512820.512820512
0.0364,30512820.512820512
0.0365,30769230.769230768
0.0366,30769230.769230768
0.0366,30769230.769230768
0.036699999999999997,31025641.025641028
0.0368,31025641.025641028
0.0369,31282051.282051284
0.037000000000000005,31282051.282051284
0.0371,31282051.282051284
0.037200000000000004,31538461.53846154
0.0373,31538461.53846154
0.0374,31538461.53846154
0.0374,31794871.794871796
0.0375,31794871.794871796
0.037599999999999995,31794871.794871796
0.0377,32051282.051282052
0.0378,32051282.051282052
0.0379,32051282.051282052
0.038,32307692.307692308
0.0381,32307692.307692308
0.0382,32307692.307692308
0.0382,32564102.564102564
0.0383,32564102.564102564
0.0384,32564102.564102564
0.0385,32820512.82051282
0.038599999999999995,32820512.82051282
0.0387,33076923.076923076
0.0388,33076923.076923076
0.038900000000000004,33076923.076923076
0.039,33076923.076923076
0.0391,33333333.333333332
0.0391,33333333.333333332
0.0392,33333333.333333332
0.0393,33589743.58974359
0.0394,33589743.58974359
0.0395,33589743.58974359
0.039599999999999996,33846153.84615385
0.0397,33846153.84615385
0.0398,33846153.84615385
0.039900000000000005,34102564.102564104
0.039900000000000005,34102564.102564104
0.04,34102564.102564104
0.0401,34358974.35897436
0.04019999999999999,34358974.35897436
0.0403,34358974.35897436
0.0404,34615384.615384616
0.0405,34615384.615384616
0.0406,34615384.615384616
0.0407,34871794.87179487
0.0407,34871794.87179487
0.0408,34871794.87179487
0.0409,34871794.87179487
0.040999999999999995,35128205.12820513
0.041100000000000005,35128205.12820513
0.0412,35128205.12820513
0.041299999999999996,35384615.384615384
0.0414,35384615.384615384
0.0415,35384615.384615384
0.0415,35384615.384615384
0.0416,35641025.64102564
0.0417,35641025.64102564
0.0418,35641025.64102564
0.04190000000000001,35897435.897435896
0.042,35897435.897435896
0.0421,35897435.897435896
0.042199999999999994,35897435.897435896
0.042300000000000004,36153846.15384615
0.0424,36153846.15384615
0.0424,36153846.15384615
0.0425,36410256.41025641
0.0426,36410256.41025641
0.042699999999999995,36410256.41025641
0.042800000000000005,36410256.41025641
0.0429,36666666.666666664
0.043,36666666.666666664
0.0431,36666666.666666664
0.0432,36666666.666666664
0.0433,36923076.92307692
0.0433,36923076.92307692
0.0434,36923076.92307692
0.0435,36923076.92307692
0.0436,36923076.92307692
0.0437,37179487.17948718
0.0438,37179487.17948718
0.043899999999999995,37179487.17948718
0.044000000000000004,37179487.17948718
0.044000000000000004,37435897.43589744
0.0441,37435897.43589744
0.044199999999999996,37435897.43589744
0.0443,37435897.43589744
0.0444,37435897.43589744
0.044500000000000005,37692307.692307696
0.0446,37692307.692307696
0.0447,37692307.692307696
0.044800000000000006,37692307.692307696
0.0449,37692307.692307696
0.045,37948717.94871795
0.045,37948717.94871795
0.0451,37948717.94871795
0.0452,37948717.94871795
0.0453,37948717.94871795
0.0454,38205128.20512821
0.0455,38205128.20512821
0.045599999999999995,38205128.20512821
0.045700000000000005,38205128.20512821
0.0458,38205128.20512821
0.0458,38461538.461538464
0.045899999999999996,38461538.461538464
0.046,38461538.461538464
0.0461,38461538.461538464
0.0462,38461538.461538464
0.0463,38461538.461538464
0.0464,38717948.71794872
0.04650000000000001,38717948.71794872
0.0466,38717948.71794872
0.0467,38717948.71794872
0.0467,38717948.71794872
0.046799999999999994,38717948.71794872
0.046900000000000004,38717948.71794872
0.047,38974358.974358976
0.0471,38974358.974358976
0.0472,38974358.974358976
0.0473,38974358.974358976
0.047400000000000005,38974358.974358976
0.047400000000000005,38974358.974358976
0.0475,38974358.974358976
0.047599999999999996,38974358.974358976
0.04769999999999999,39230769.23076923
0.0478,39230769.23076923
0.0479,39230769.23076923
0.048,39230769.23076923
0.0481,39230769.23076923
0.0482,39230769.23076923
0.0483,39230769.23076923
0.0483,39230769.23076923
0.0484,39230769.23076923
0.048499999999999995,39487179.48717949
0.048600000000000004,39487179.48717949
0.0487,39487179.48717949
0.048799999999999996,39487179.48717949
0.0489,39487179.48717949
0.049,39487179.48717949
0.049100000000000005,39487179.48717949
0.049100000000000005,39487179.48717949
0.0492,39487179.48717949
0.0493,39487179.48717949
0.049400000000000006,39487179.48717949
0.0495,39487179.48717949
0.0496,39487179.48717949
0.049699999999999994,39743589.743589744
0.049800000000000004,39743589.743589744
0.0499,39743589.743589744
0.05,39743589.743589744
0.05,39743589.743589744
0.0501,39743589.743589744
0.050199999999999995,39743589.743589744
0.050300000000000004,39743589.743589744
0.0504,39743589.743589744
0.050499999999999996,39743589.743589744
0.0506,39743589.743589744
0.0507,39743589.743589744
0.0508,39743589.743589744
0.0508,39743589.743589744
0.0509,39743589.743589744
0.051,39743589.743589744
0.051100000000000007,39743589.743589744
0.0512,39743589.743589744
0.0513,39743589.743589744
0.051399999999999994,39743589.743589744
0.051500000000000004,39743589.743589744
0.0516,39743589.743589744
0.0516,39743589.743589744
0.051699999999999996,39743589.743589744
0.0518,39743589.743589744
0.0519,39743589.743589744
0.052000000000000005,39743589.743589744
0.0521,39743589.743589744
0.052199999999999996,39743589.743589744
0.052300000000000006,39743589.743589744
0.0524,39743589.743589744
0.0525,39743589.743589744
0.0525,39743589.743589744
0.0526,39743589.743589744
0.0527,39743589.743589744
0.0528,39743589.743589744
0.0529,39743589.743589744
0.053,39743589.743589744
0.053099999999999994,39743589.743589744
0.053200000000000004,39743589.743589744
0.0533,39743589.743589744
0.0533,39743589.743589744
0.053399999999999996,39743589.743589744
0.0535,39743589.743589744
0.0536,39743589.743589744
0.0537,39743589.743589744
0.0538,39743589.743589744
0.053899999999999997,39743589.743589744
0.054000000000000006,39743589.743589744
0.0541,39743589.743589744
0.0541,39743589.743589744
0.0542,39743589.743589744
0.054299999999999994,39743589.743589744
0.054400000000000004,39743589.743589744
0.0545,39487179.48717949
0.0546,39487179.48717949
0.0547,39487179.48717949
0.0548,39487179.48717949
0.054900000000000004,39487179.48717949
0.055,39487179.48717949
0.055,39487179.48717949
0.055099999999999996,39487179.48717949
0.0552,39487179.48717949
0.0553,39487179.48717949
0.0554,39487179.48717949
0.0555,39487179.48717949
0.0556,39487179.48717949
0.0557,39487179.48717949
0.0558,39487179.48717949
0.0558,39487179.48717949
0.0559,39487179.48717949
0.055999999999999994,39487179.48717949
0.056100000000000004,39487179.48717949
0.0562,39487179.48717949
0.056299999999999996,39487179.48717949
0.0564,39487179.48717949
0.0565,39487179.48717949
0.056600000000000004,39487179.48717949
0.056600000000000004,39487179.48717949
0.0567,39487179.48717949
0.056799999999999996,39487179.48717949
0.056900000000000006,39487179.48717949
0.057,39487179.48717949
0.0571,39487179.48717949
0.0572,39487179.48717949
0.057300000000000004,39487179.48717949
0.057300000000000004,39487179.48717949
0.0574,39230769.23076923
0.0575,39230769.23076923
0.0576,39230769.23076923
0.057699999999999994,39230769.23076923
0.057800000000000004,39230769.23076923
0.0579,39230769.23076923
0.057999999999999996,39230769.23076923
0.0581,39230769.23076923
0.0582,39230769.23076923
0.0583,39230769.23076923
0.0584,39230769.23076923
0.0584,39230769.23076923
0.058499999999999996,39230769.23076923
0.058600000000000006,39230769.23076923
0.0587,39230769.23076923
0.0588,39230769.23076923
0.058899999999999994,39230769.23076923
0.059000000000000004,39230769.23076923
0.0591,39230769.23076923
0.0592,39230769.23076923
0.0592,39230769.23076923
