Engineering Strain (unitless),Engineering Stress (Pa)
0.0,0.0
0.0,8538.461538461539
0.0,8538.461538461539
0.0,8538.461538461539
6e-05,8538.461538461539
0.00017,8538.461538461539
0.00027,8538.461538461539
0.00037,17102.564102564105
0.00048,25641.02564102564
0.00058,34102.5641025641
0.0006900000000000001,42820.51282051282
0.00083,51282.05128205128
0.0009,59743.58974358975
0.00097,59743.58974358975
0.00104,59743.58974358975
0.00111,59743.58974358975
0.0011799999999999998,68461.53846153845
0.00124,68461.53846153845
0.00131,76923.07692307692
0.0013700000000000001,85384.61538461539
0.0014399999999999999,85384.61538461539
0.00151,94102.56410256411
0.00158,94102.56410256411
0.00165,102564.10256410256
0.00168,102564.10256410256
0.0017499999999999998,102564.10256410256
0.00183,111025.64102564103
0.0019,111025.64102564103
0.00197,111025.64102564103
0.0020399999999999997,119743.58974358975
0.0021,119743.58974358975
0.00217,119743.58974358975
0.00227,128205.1282051282
0.0023699999999999997,136666.66666666666
0.00247,136666.66666666666
0.00261,145384.61538461538
0.00268,153846.15384615384
0.0027400000000000002,153846.15384615384
0.0028100000000000004,162307.6923076923
0.0028799999999999997,162307.6923076923
0.00295,171025.64102564103
0.00302,179487.1794871795
0.00312,179487.1794871795
0.00322,187948.71794871797
0.00332,196666.66666666666
0.0034200000000000003,196666.66666666666
0.0035299999999999997,205128.20512820513
0.00363,205128.20512820513
0.00373,213589.7435897436
0.00384,222307.6923076923
0.00394,230769.23076923078
0.004050000000000001,230769.23076923078
0.00415,239230.76923076925
0.00425,247948.71794871794
0.00439,256410.2564102564
0.00446,256410.2564102564
0.00457,264102.5641025641
0.00468,264102.5641025641
0.0047799999999999995,274358.9743589744
0.00488,274358.9743589744
0.00498,282051.28205128206
0.00509,282051.28205128206
0.00519,289743.58974358975
0.0053,300000.0
0.0054,300000.0
0.0055000000000000005,307692.3076923077
0.005600000000000001,315384.61538461543
0.00571,315384.61538461543
0.005809999999999999,325641.0256410256
0.00592,333333.3333333333
0.00602,333333.3333333333
0.00616,341025.64102564106
0.00623,351282.05128205125
0.00634,351282.05128205125
0.00644,358974.358974359
0.00655,358974.358974359
0.0066500000000000005,366666.6666666667
0.00676,376923.07692307694
0.006860000000000001,376923.07692307694
0.0069299999999999995,384615.3846153846
0.00707,392307.6923076923
0.007169999999999999,392307.6923076923
0.00728,392307.6923076923
0.00738,402564.10256410256
0.00748,402564.10256410256
0.00759,402564.10256410256
0.00769,410256.41025641025
0.00779,417948.717948718
0.00793,428205.1282051282
0.008,428205.1282051282
0.008110000000000001,435897.4358974359
0.00821,435897.4358974359
0.00831,443589.7435897436
0.00842,443589.7435897436
0.00852,453846.1538461538
0.00863,461538.46153846156
0.00874,469230.76923076925
0.00884,469230.76923076925
0.00894,479487.1794871795
0.00905,479487.1794871795
0.00915,487179.4871794872
0.009250000000000001,487179.4871794872
0.00935,487179.4871794872
0.00946,494871.7948717949
0.009559999999999999,494871.7948717949
0.0097,505128.2051282051
0.00977,505128.2051282051
0.00988,512820.5128205128
0.00998,512820.5128205128
0.0101,520512.82051282056
0.0102,520512.82051282056
0.0103,520512.82051282056
0.0104,530769.2307692308
0.0105,530769.2307692308
0.0106,530769.2307692308
0.010700000000000001,530769.2307692308
0.0108,530769.2307692308
0.0109,538461.5384615385
0.011000000000000001,538461.5384615385
0.0111,538461.5384615385
0.011200000000000002,538461.5384615385
0.0113,538461.5384615385
0.0115,538461.5384615385
0.0115,538461.5384615385
0.011699999999999999,538461.5384615385
0.0118,538461.5384615385
