Displacement (mm),Tensile Force (N)
0,0.333
0.00228,0.152
0.00858,0.659
0.018,1.53
0.0267,2.44
0.0361,3.86
0.0448,5.31
0.0541,6.96
0.0641,8.68
0.0738,10.3
0.0818,11.7
0.0911,12.8
0.0995,14.3
0.109,15.4
0.118,16.5
0.127,17.7
0.136,18.7
0.145,19.6
0.154,20.4
0.162,20.7
0.172,20.9
0.181,21.2
0.189,21.5
0.198,21.7
0.209,22
0.217,22
0.227,22
0.235,22
0.245,22
0.254,22
0.261,22
0.27,22
0.28,22
0.288,22
0.298,22
0.307,22
0.315,22
0.324,22
0.332,22.3
0.342,22.3
0.351,22.3
0.359,22.3
0.368,22.4
0.377,22.7
0.386,22.7
0.394,22.7
0.404,22.7
0.413,22.7
0.423,22.7
0.431,22.6
0.44,22.4
0.449,22.7
0.459,22.7
0.467,22.7
0.476,22.9
0.485,23.2
0.494,23.5
0.503,24.1
0.512,24.7
0.521,25.3
0.529,26.1
0.538,26.9
0.547,27.9
0.556,29
0.565,29.9
0.574,31
0.583,32.1
0.593,33.5
0.602,34.7
0.61,35.8
0.619,37.1
0.628,38.3
0.637,39.4
0.646,40.6
0.655,42
0.664,43.4
0.673,44.7
0.682,46
0.691,47.4
0.7,48.8
0.708,50.2
0.718,51.6
0.727,53.1
0.736,54.5
0.745,56
0.753,57.5
0.762,59.2
0.772,60.9
0.78,62.4
0.789,64
0.798,65.7
0.807,67.5
0.816,69.2
0.825,70.9
0.834,72.7
0.843,74.4
0.852,76.1
0.861,77.8
0.869,79.6
0.878,81.5
0.887,83.3
0.896,85.3
0.905,87.2
0.914,89
0.923,90.9
0.932,92.9
0.941,95
0.951,97.2
0.958,98.9
0.967,101
0.976,103
0.985,105
0.994,107
1,108
1.01,111
1.02,113
1.03,115
1.04,118
1.05,120
1.06,122
1.07,125
1.07,127
1.08,129
1.09,132
1.1,134
1.11,137
1.12,139
1.13,142
1.14,144
1.15,147
1.15,149
1.16,152
1.17,154
1.18,157
1.19,159
1.2,162
1.21,164
1.22,167
1.23,170
1.23,173
1.24,176
1.25,178
1.26,181
1.27,184
1.28,187
1.29,190
1.3,193
1.31,196
1.32,199
1.32,202
1.33,205
1.34,207
1.35,211
1.36,214
1.37,216
1.38,219
1.39,222
1.4,225
1.4,228
1.41,231
1.42,234
1.43,238
1.44,241
1.45,244
1.46,247
1.47,250
1.48,254
1.49,257
1.49,260
1.5,263
1.51,267
1.52,270
1.53,273
1.54,277
1.55,280
1.56,283
1.57,287
1.57,290
1.58,294
1.59,297
1.6,300
1.61,303
1.62,307
1.63,310
1.64,314
1.64,317
1.66,321
1.66,324
1.67,328
1.68,331
1.69,335
1.7,338
1.71,342
1.72,345
1.73,348
1.73,352
1.74,356
1.75,359
1.76,363
1.77,367
1.78,371
1.79,374
1.8,378
1.81,382
1.82,385
1.82,389
1.83,393
1.84,397
1.85,400
1.86,404
1.87,408
1.88,412
1.89,415
1.9,419
1.9,423
1.91,426
1.92,430
1.93,434
1.94,438
1.95,442
1.96,446
1.97,449
1.98,453
1.98,457
1.99,461
2,465
2.01,469
2.02,472
2.03,476
2.04,480
2.05,483
2.06,487
2.07,491
2.07,495
2.08,499
2.09,503
2.1,507
2.11,511
2.12,515
2.13,519
2.14,523
2.15,527
2.15,531
2.16,535
2.17,538
2.18,543
2.19,547
2.2,550
2.21,554
2.22,558
2.23,562
2.23,566
2.24,570
2.25,574
2.26,578
2.27,582
2.28,586
2.29,591
2.3,595
2.31,599
2.32,603
2.32,607
2.33,611
2.34,615
2.35,619
2.36,623
2.37,628
2.38,632
2.39,636
2.4,640
2.4,644
2.41,647
2.42,651
2.43,655
2.44,659
2.45,663
2.46,667
2.47,671
2.48,675
2.48,679
2.49,684
2.5,688
2.51,692
2.52,696
2.53,700
2.54,704
2.55,709
2.56,712
2.57,716
2.57,720
2.58,724
2.59,728
2.6,733
2.61,737
2.62,741
2.63,745
2.64,749
2.65,753
2.65,757
2.66,761
2.67,765
2.68,770
2.69,774
2.7,778
2.71,782
2.72,786
2.73,790
2.73,794
2.74,798
2.75,803
2.76,807
2.77,811
2.78,815
2.79,819
2.8,823
2.8,826
2.82,832
2.82,835
2.83,839
2.84,844
2.85,848
2.86,852
2.87,856
2.88,860
2.89,864
2.9,868
2.91,872
2.91,876
2.92,880
2.93,885
2.94,889
2.95,893
2.96,897
2.97,901
2.98,905
2.99,909
2.99,913
3,917
3.01,921
3.02,925
3.03,929
3.04,933
3.05,937
3.06,941
3.07,945
3.08,949
3.08,952
3.09,955
3.1,960
3.11,964
3.12,969
3.13,973
3.14,977
3.15,981
3.15,985
3.16,989
3.17,993
3.18,997
3.19,1000
3.2,1010
3.21,1010
3.22,1010
3.23,1020
3.24,1020
3.24,1020
3.25,1030
3.26,1030
3.27,1040
3.28,1040
3.29,1040
3.3,1050
3.31,1050
3.32,1060
3.32,1060
3.33,1060
3.34,1070
3.35,1070
3.36,1080
3.37,1080
3.38,1080
3.39,1090
3.4,1090
3.41,1100
3.41,1100
3.42,1100
3.43,1110
3.44,1110
3.45,1110
3.46,1120
3.47,1120
3.48,1130
3.49,1130
3.49,1130
3.5,1140
3.51,1140
3.52,1150
3.53,1150
3.54,1150
3.55,1160
3.56,1160
3.57,1160
3.57,1170
3.58,1170
3.59,1170
3.6,1180
3.61,1180
3.62,1180
3.63,1190
3.64,1190
3.65,1200
3.66,1200
3.66,1200
3.67,1210
3.68,1210
3.69,1220
3.7,1220
3.71,1220
3.72,1230
3.73,1230
3.74,1230
3.74,1240
3.75,1240
3.76,1240
3.77,1250
3.78,1250
3.79,1250
3.8,1260
3.81,1260
3.82,1260
3.82,1270
3.83,1270
3.84,1270
3.85,1280
3.86,1280
3.87,1290
3.88,1290
3.89,1290
3.9,1290
3.91,1300
3.91,1300
3.92,1300
3.93,1310
3.94,1310
3.95,1310
3.96,1320
3.97,1320
3.98,1320
3.99,1330
3.99,1330
4,1330
4.01,1340
4.02,1340
4.03,1340
4.04,1350
4.05,1350
4.06,1350
4.07,1360
4.07,1360
4.08,1360
4.09,1360
4.1,1370
4.11,1370
4.12,1370
4.13,1380
4.14,1380
4.15,1380
4.15,1380
4.16,1390
4.17,1390
4.18,1390
4.19,1400
4.2,1400
4.21,1400
4.22,1400
4.23,1410
4.24,1410
4.24,1410
4.25,1420
4.26,1420
4.27,1420
4.28,1420
4.29,1430
4.3,1430
4.31,1430
4.32,1430
4.33,1440
4.33,1440
4.34,1440
4.35,1440
4.36,1440
4.37,1450
4.38,1450
4.39,1450
4.4,1450
4.4,1460
4.41,1460
4.42,1460
4.43,1460
4.44,1460
4.45,1470
4.46,1470
4.47,1470
4.48,1470
4.49,1470
4.5,1480
4.5,1480
4.51,1480
4.52,1480
4.53,1480
4.54,1490
4.55,1490
4.56,1490
4.57,1490
4.58,1490
4.58,1500
4.59,1500
4.6,1500
4.61,1500
4.62,1500
4.63,1500
4.64,1510
4.65,1510
4.66,1510
4.67,1510
4.67,1510
4.68,1510
4.69,1510
4.7,1520
4.71,1520
4.72,1520
4.73,1520
4.74,1520
4.74,1520
4.75,1520
4.76,1520
4.77,1530
4.78,1530
4.79,1530
4.8,1530
4.81,1530
4.82,1530
4.83,1530
4.83,1530
4.84,1530
4.85,1540
4.86,1540
4.87,1540
4.88,1540
4.89,1540
4.9,1540
4.91,1540
4.91,1540
4.92,1540
4.93,1540
4.94,1540
4.95,1540
4.96,1540
4.97,1550
4.98,1550
4.99,1550
5,1550
5,1550
5.01,1550
5.02,1550
5.03,1550
5.04,1550
5.05,1550
5.06,1550
5.07,1550
5.08,1550
5.08,1550
5.09,1550
5.1,1550
5.11,1550
5.12,1550
5.13,1550
5.14,1550
5.15,1550
5.16,1550
5.16,1550
5.17,1550
5.18,1550
5.19,1550
5.2,1550
5.21,1550
5.22,1550
5.23,1550
5.24,1550
5.25,1550
5.25,1550
5.26,1550
5.27,1550
5.28,1550
5.29,1550
5.3,1550
5.31,1550
5.32,1550
5.33,1550
5.33,1550
5.34,1550
5.35,1550
5.36,1550
5.37,1550
5.38,1550
5.39,1550
5.4,1550
5.41,1550
5.41,1550
5.42,1550
5.43,1550
5.44,1550
5.45,1540
5.46,1540
5.47,1540
5.48,1540
5.49,1540
5.5,1540
5.5,1540
5.51,1540
5.52,1540
5.53,1540
5.54,1540
5.55,1540
5.56,1540
5.57,1540
5.58,1540
5.58,1540
5.59,1540
5.6,1540
5.61,1540
5.62,1540
5.63,1540
5.64,1540
5.65,1540
5.66,1540
5.66,1540
5.67,1540
5.68,1540
5.69,1540
5.7,1540
5.71,1540
5.72,1540
5.73,1540
5.73,1540
5.74,1530
5.75,1530
5.76,1530
5.77,1530
5.78,1530
5.79,1530
5.8,1530
5.81,1530
5.82,1530
5.83,1530
5.84,1530
5.84,1530
5.85,1530
5.86,1530
5.87,1530
5.88,1530
5.89,1530
5.9,1530
5.91,1530
5.92,1530
5.92,1530
5.93,1530
5.94,1530
5.95,1530
5.96,1530
5.97,1530
5.98,1530
5.99,1530
6,1530
6,1530
6.01,1530
6.02,1530
6.03,1520
6.04,1520
6.05,1520
6.06,1520
6.07,1520
6.08,1520
6.09,1520
6.09,1520
6.1,1520
6.11,1520
6.12,1520
6.13,1520
6.14,1520
6.15,1520
6.16,1520
6.16,1520
6.17,1520
6.18,1520
6.19,1520
6.2,1520
6.21,1520
6.22,1520
6.23,1520
6.24,1520
6.25,1520
6.26,1520
6.26,1520
6.27,1520
6.28,1520
6.29,1520
6.3,1520
6.31,1510
6.32,1510
6.33,1510
6.33,1510
6.34,1510
6.35,1510
6.36,1510
6.37,1510
6.38,1510
6.39,1510
6.4,1510
6.41,1510
6.41,1510
6.42,1510
6.43,1510
6.44,1510
6.45,1510
6.46,1510
6.47,1510
6.48,1510
6.49,1510
6.5,1510
6.5,1510
6.51,1510
6.52,1510
6.53,1510
6.54,1510
6.55,1510
6.56,1500
6.57,1500
6.58,1500
6.58,1500
6.59,1500
6.6,1500
6.61,1500
6.62,1500
6.63,1500
6.64,1500
6.65,1500
6.66,1500
6.67,1500
6.67,1500
6.68,1500
6.69,1500
6.7,1500
6.71,1500
6.72,1500
6.73,1500
6.74,1500
6.75,1500
6.75,1500
6.76,1500
6.77,1500
6.78,1500
6.79,1500
6.8,1500
6.81,1500
6.82,1490
6.83,1490
6.84,1490
6.84,1490
6.85,1490
6.86,1490
6.87,1490
6.88,1490
6.89,1490
6.9,1490
6.91,1490
6.92,1490
6.92,1490
6.93,1490
6.94,1490
6.95,1490
6.96,1490
6.97,1490
6.98,1490
6.99,1490
7,1490
7,1490
7.01,1490
7.02,1490
7.03,1490
7.04,1490
7.05,1490
7.06,1490
7.07,1490
7.08,1490
7.08,1480
7.09,1480
7.1,1480
7.11,1480
7.12,1480
7.13,1480
7.14,1480
7.15,1480
7.16,1480
7.17,1480
7.17,1480
7.18,1480
7.19,1480
7.2,1480
7.21,1480
7.22,1480
7.23,1480
7.24,1480
7.25,1480
7.25,1480
7.26,1480
7.27,1480
7.28,1480
7.29,1480
7.3,1480
7.31,1480
7.32,1480
7.33,1480
7.33,1470
7.34,1470
7.35,1470
7.36,1470
7.37,1470
7.38,1470
7.39,1470
7.4,1470
7.41,1470
7.42,1470
7.42,1470
7.43,1470
7.44,1470
7.45,1470
7.46,1470
7.47,1470
7.48,1470
7.49,1470
7.5,1470
7.51,1470
7.51,1470
7.52,1470
7.53,1470
7.54,1460
7.55,1460
7.56,1460
7.57,1460
7.58,1460
7.59,1460
7.59,1460
7.6,1460
7.61,1460
7.62,1460
7.63,1460
7.64,1460
7.65,1460
7.66,1460
7.67,1460
7.68,1460
7.68,1460
7.69,1460
7.7,1460
7.71,1460
7.72,1460
7.73,1460
7.74,1450
7.75,1450
7.75,1450
7.76,1450
7.77,1450
7.78,1450
7.79,1450
7.8,1450
7.81,1450
7.82,1450
7.83,1450
7.84,1450
7.84,1450
7.85,1450
7.86,1450
7.87,1450
7.88,1450
7.89,1450
7.9,1450
7.91,1440
7.92,1440
7.92,1440
7.93,1440
7.94,1440
7.95,1440
7.96,1440
7.97,1440
7.98,1440
7.99,1440
8,1440
8.01,1440
8.01,1440
8.02,1440
8.03,1440
8.04,1440
8.05,1440
8.06,1440
8.07,1430
8.08,1430
8.09,1430
8.09,1430
8.1,1430
8.11,1430
8.12,1430
8.13,1430
8.14,1430
8.15,1430
8.16,1430
8.17,1430
8.17,1430
8.18,1430
8.19,1430
8.2,1420
8.21,1420
8.22,1420
8.23,1420
8.24,1420
8.25,1420
8.26,1420
8.26,1420
8.27,1420
8.28,1420
8.29,1420
8.3,1420
8.31,1420
8.32,1420
8.33,1410
8.34,1410
8.34,1410
8.35,1410
8.36,1410
8.37,1410
8.38,1410
8.39,1410
8.4,1410
8.41,1410
8.42,1410
8.43,1410
8.43,1400
8.44,1400
8.45,1400
8.46,1400
8.47,1400
8.48,1400
8.49,1400
8.5,1400
8.51,1400
8.51,1400
8.52,1390
8.53,1390
8.54,1390
8.55,1390
8.56,1390
8.57,1390
8.58,1390
8.59,1390
8.59,1380
8.6,1380
8.61,1380
8.62,1380
8.63,1380
8.64,1380
8.65,1370
8.66,1370
8.67,1370
8.67,1370
8.68,1370
8.69,1370
8.7,1360
8.71,1360
8.72,1360
8.73,1360
8.74,1350
8.75,1350
8.76,1350
8.76,1350
8.77,1340
8.78,1340
8.79,1340
8.8,1330
8.81,1330
8.82,1330
8.83,1320
8.84,1320
8.84,1310
8.85,1310
8.86,1300
8.87,1300
8.88,1290
8.89,1170
8.9,969
8.91,753
8.93,348
