Displacement (mm),Tensile Force (N)
0,0
0,0.333
0,0.333
0,0.333
0.006,0.333
0.017,0.333
0.027,0.333
0.037,0.667
0.048,1
0.058,1.33
0.069,1.67
0.083,2
0.09,2.33
0.097,2.33
0.104,2.33
0.111,2.33
0.118,2.67
0.124,2.67
0.131,3
0.137,3.33
0.144,3.33
0.151,3.67
0.158,3.67
0.165,4
0.168,4
0.175,4
0.183,4.33
0.19,4.33
0.197,4.33
0.204,4.67
0.21,4.67
0.217,4.67
0.227,5
0.237,5.33
0.247,5.33
0.261,5.67
0.268,6
0.274,6
0.281,6.33
0.288,6.33
0.295,6.67
0.302,7
0.312,7
0.322,7.33
0.332,7.67
0.342,7.67
0.353,8
0.363,8
0.373,8.33
0.384,8.67
0.394,9
0.405,9
0.415,9.33
0.425,9.67
0.439,10
0.446,10
0.457,10.3
0.468,10.3
0.478,10.7
0.488,10.7
0.498,11
0.509,11
0.519,11.3
0.53,11.7
0.54,11.7
0.55,12
0.56,12.3
0.571,12.3
0.581,12.7
0.592,13
0.602,13
0.616,13.3
0.623,13.7
0.634,13.7
0.644,14
0.655,14
0.665,14.3
0.676,14.7
0.686,14.7
0.693,15
0.707,15.3
0.717,15.3
0.728,15.3
0.738,15.7
0.748,15.7
0.759,15.7
0.769,16
0.779,16.3
0.793,16.7
0.8,16.7
0.811,17
0.821,17
0.831,17.3
0.842,17.3
0.852,17.7
0.863,18
0.874,18.3
0.884,18.3
0.894,18.7
0.905,18.7
0.915,19
0.925,19
0.935,19
0.946,19.3
0.956,19.3
0.97,19.7
0.977,19.7
0.988,20
0.998,20
1.01,20.3
1.02,20.3
1.03,20.3
1.04,20.7
1.05,20.7
1.06,20.7
1.07,20.7
1.08,20.7
1.09,21
1.1,21
1.11,21
1.12,21
1.13,21
1.15,21
1.15,21
1.17,21
1.18,21
1.19,21
1.2,21
1.21,21
1.22,21
1.23,21.3
1.24,21.3
1.25,21.3
1.26,21.3
1.27,21.3
1.28,21.3
1.29,21.7
1.3,21.7
1.31,21.7
1.33,22
1.33,22
1.34,22
1.35,22.3
1.36,22.7
1.37,22.7
1.38,23
1.39,23
1.41,23.3
1.42,23.3
1.43,23.3
1.44,23.7
1.45,24
1.46,24
1.47,24.3
1.48,24.3
1.49,24.7
1.5,25
1.51,25
1.52,25
1.53,25.3
1.54,25.7
1.55,25.7
1.56,26
1.57,26
1.58,26.3
1.59,26.7
1.6,27
1.61,27.3
1.62,27.3
1.63,27.7
1.64,27.7
1.65,28
1.67,28
1.68,28.3
1.69,28.3
1.7,28.7
1.71,29
1.72,29.3
1.73,29.3
1.74,29.7
1.75,29.7
1.76,30
1.77,30
1.78,30.3
1.79,30.3
1.8,30.7
1.81,30.7
1.82,31
1.83,31
1.84,31.3
1.86,31.3
1.86,31.3
1.87,31.7
1.88,32
1.89,32.3
1.9,32.7
1.92,33
1.93,33
1.94,33.3
1.95,33.3
1.96,33.7
1.97,33.7
1.98,34
1.99,34
2,34.3
2.01,34.7
2.02,35
2.03,35
2.04,35.3
2.05,35.3
2.06,35.7
2.07,35.7
